Client_ID,Company_Name,Industry,Contract_Type,Region,City,Onboarding_Date,Satisfaction_Score,Tenure_Years,Annual_Contract_Value,Account_Status
CLI-0145,CoreLogic Labs,Retail,Multi-Year,West,Ahmedabad,2023-12-31,4.7,1.2,500000,Active
CLI-0154,DataWeave Services,Logistics,Project-Based,East,Patna,2020-06-19,4.7,4.8,750000,Active
CLI-0246,NovaTech Systems,Government,Project-Based,West,Surat,2021-05-28,3.5,3.8,50000,Active
CLI-0197,Zenith Group,EdTech,Project-Based,North,Jaipur,2022-12-01,4.9,2.3,150000,Active
CLI-0156,SwiftCode Corp,Telecom,Project-Based,West,Surat,2019-12-11,3.4,5.3,100000,Churned
CLI-0023,InfraMax Group,Banking,Annual License,North,Chandigarh,2022-01-22,,3.2,300000,Active
CLI-0186,SilverEdge Labs,Insurance,Multi-Year,East,Guwahati,2021-02-07,4.1,4.1,75000,Active
CLI-0143,NetDynamic Technologies,Manufacturing,Managed Services,West,Mumbai,2024-01-15,4.5,1.2,750000,Active
CLI-0220,BrightPath Solutions,Retail,Managed Services,East,Bhubaneswar,2022-08-02,4.8,2.7,100000,Active
CLI-0095,SwiftCode Labs,Telecom,Monthly SaaS,South,Hyderabad,2019-06-16,2.9,5.8,300000,Active
CLI-0279,NetDynamic Labs,Logistics,Annual License,West,Pune,2021-12-28,4.4,3.3,1000000,Active
CLI-0300,Pinnacle Infotech,Insurance,Multi-Year,North,Chandigarh,2021-11-07,3.3,3.4,1000000,Active
CLI-0291,Zenith Systems,Retail,Monthly SaaS,North,Chandigarh,2021-04-29,4.3,3.9,750000,Active
CLI-0290,SilverEdge Group,Logistics,Monthly SaaS,East,Guwahati,2023-06-12,4,1.8,1000000,At Risk
CLI-0110,GreenPulse Technologies,Logistics,Annual License,West,Pune,2022-01-22,2.8,3.2,300000,Active
CLI-0253,DigitalForge Systems,Healthcare,Managed Services,North,Delhi,2024-01-27,3.1,1.2,200000,Active
CLI-0167,SafeHaven Systems,Logistics,Multi-Year,South,Hyderabad,2020-09-08,2.9,4.6,100000,Active
CLI-0157,Unspecified,Banking,Annual License,North,Delhi,2021-04-24,4.1,3.9,75000,Churned
CLI-0162,DataWeave Solutions,Manufacturing,Managed Services,South,Kochi,2024-03-17,2.9,1,150000,Active
CLI-0035,Zenith Infotech,Healthcare,Project-Based,West,Unspecified,2022-01-16,2.7,3.2,500000,Active
CLI-0283,NovaTech Infotech,EdTech,Project-Based,West,Ahmedabad,2022-06-16,4.2,2.8,100000,Active
CLI-0013,SwiftCode Infotech,Government,Multi-Year,North,Delhi,2022-12-20,3.1,2.3,50000,At Risk
CLI-0105,OmniSoft Corp,Manufacturing,Managed Services,West,Pune,2022-09-22,3.8,2.5,300000,Active
CLI-0259,CrestLine Group,Insurance,Project-Based,South,Bangalore,2023-03-19,3.1,2,200000,Active
CLI-0277,DataWeave Solutions,Healthcare,Annual License,North,Chandigarh,2023-06-15,2.7,1.8,150000,At Risk
CLI-0268,Vertex Solutions,Manufacturing,Monthly SaaS,South,Hyderabad,2022-10-31,4.6,2.4,200000,Active
CLI-0017,TechVista Services,Insurance,Monthly SaaS,West,Surat,2019-11-14,3,5.4,50000,Active
CLI-0261,OmniSoft Digital,Telecom,Managed Services,South,Kochi,2024-04-30,4.6,0.9,150000,Churned
CLI-0226,CoreLogic Technologies,Insurance,Annual License,East,Guwahati,2021-08-22,4.2,3.6,75000,Active
CLI-0058,Zenith Enterprises,Telecom,Managed Services,East,Guwahati,2023-09-06,3.7,1.6,750000,Active
CLI-0224,CrestLine Digital,Logistics,Multi-Year,North,Delhi,2020-11-09,3,4.4,1000000,Churned
CLI-0020,NovaTech Solutions,Insurance,Managed Services,North,Delhi,2022-01-06,3.2,3.2,300000,At Risk
CLI-0137,TechVista Enterprises,Retail,Monthly SaaS,North,Delhi,2020-09-03,2.8,4.6,300000,Active
CLI-0182,CoreLogic Systems,Insurance,Managed Services,West,Mumbai,2022-03-18,4.4,3,300000,Active
CLI-0108,CoreLogic Infotech,Banking,Multi-Year,North,Jaipur,2024-03-26,3.5,1,1000000,Active
CLI-0252,Unspecified,EdTech,Project-Based,East,Bhubaneswar,2019-03-22,4.8,6,750000,Active
CLI-0166,Pinnacle Solutions,Healthcare,Monthly SaaS,North,Jaipur,2023-11-04,3.2,1.4,500000,Churned
CLI-0276,Apex Technologies,Manufacturing,Multi-Year,West,Mumbai,2020-02-26,4.3,5.1,500000,Active
CLI-0144,CoreLogic Solutions,Logistics,Monthly SaaS,North,Chandigarh,2022-03-30,3.6,3,75000,Active
CLI-0094,NetDynamic Group,Media,Managed Services,South,Hyderabad,2021-02-02,3.5,4.2,300000,Active
CLI-0251,Pinnacle Group,Telecom,Managed Services,South,Kochi,2023-08-29,3.8,1.6,75000,Active
CLI-0121,Vertex Systems,Insurance,Project-Based,West,Surat,2020-02-22,2.9,5.1,300000,Churned
CLI-0212,OmniSoft Digital,Manufacturing,Monthly SaaS,West,Surat,2023-12-13,2.7,1.3,200000,Active
CLI-0204,Apex Corp,Banking,Project-Based,East,Kolkata,2020-02-25,3.1,5.1,750000,At Risk
CLI-0201,Vertex Group,Logistics,Multi-Year,East,Bhubaneswar,2021-05-02,3.3,3.9,75000,Active
CLI-0141,CoreLogic Technologies,Telecom,Monthly SaaS,South,Chennai,2024-05-14,2.9,0.9,300000,Active
CLI-0048,CoreLogic Systems,Insurance,Annual License,North,Jaipur,2021-08-19,3.4,3.6,50000,Active
CLI-0247,SafeHaven Infotech,Banking,Annual License,South,Chennai,2022-11-21,3.3,2.4,75000,Active
CLI-0093,BlueOrbit Corp,Government,Project-Based,South,Bangalore,2021-07-11,4.7,3.7,300000,At Risk
CLI-0084,Apex Technologies,Media,Multi-Year,West,Surat,2021-07-18,3.4,3.7,300000,Churned
CLI-0026,CoreLogic Infotech,Manufacturing,Annual License,South,Kochi,2020-11-03,2.7,4.4,200000,Active
CLI-0149,Vertex Systems,Media,Monthly SaaS,South,Hyderabad,2022-03-28,4.2,3,300000,Active
CLI-0245,CrestLine Technologies,Insurance,Monthly SaaS,South,Hyderabad,2022-07-23,,2.7,750000,Active
CLI-0054,BrightPath Digital,Banking,Monthly SaaS,North,Chandigarh,2021-08-21,3.6,3.6,200000,Active
CLI-0004,OmniSoft Corp,Government,Multi-Year,North,Delhi,2022-09-16,3.2,2.5,75000,At Risk
CLI-0232,BrightPath Digital,Insurance,Annual License,South,Hyderabad,2021-04-05,4,4,500000,Active
CLI-0231,InfraMax Technologies,Logistics,Multi-Year,South,Bangalore,2024-03-09,4.4,1.1,200000,At Risk
CLI-0187,DigitalForge Corp,Government,Annual License,North,Lucknow,2022-07-24,3.4,2.7,75000,Churned
CLI-0234,DataWeave Services,Logistics,Managed Services,North,Chandigarh,2021-06-23,4.6,3.8,750000,Churned
CLI-0210,BrightPath Digital,Telecom,Annual License,North,Delhi,2020-02-09,3.6,5.1,100000,Active
CLI-0295,Zenith Digital,Healthcare,Multi-Year,West,Mumbai,2023-12-03,3.8,1.3,75000,Active
CLI-0101,Pinnacle Services,Healthcare,Multi-Year,East,Guwahati,2024-01-29,4.6,1.2,75000,At Risk
CLI-0089,InfraMax Technologies,Manufacturing,Project-Based,West,Mumbai,2021-03-21,4.4,4,150000,Active
CLI-0223,Pinnacle Technologies,EdTech,Multi-Year,West,Pune,2023-02-08,4.9,2.1,75000,Active
CLI-0009,DataWeave Technologies,Telecom,Project-Based,South,Kochi,2019-01-07,4.7,6.2,200000,At Risk
CLI-0299,TechVista Infotech,Logistics,Managed Services,West,Pune,2021-01-28,3.7,4.2,200000,Active
CLI-0298,Apex Labs,Manufacturing,Monthly SaaS,West,Ahmedabad,2019-08-07,4.1,5.6,200000,Active
CLI-0109,Vertex Corp,Telecom,Annual License,East,Guwahati,2023-12-27,3.6,1.3,500000,Active
CLI-0135,InfraMax Corp,Insurance,Annual License,South,Bangalore,2024-05-29,4.8,0.8,500000,Active
CLI-0014,Zenith Digital,Government,Project-Based,South,Kochi,2023-07-12,2.7,1.7,500000,Active
CLI-0033,NetDynamic Group,Media,Managed Services,East,Guwahati,2022-06-08,4.7,2.8,500000,Churned
CLI-0281,CloudNine Infotech,Logistics,Managed Services,South,Chennai,2020-01-12,4.6,5.2,150000,Active
CLI-0102,Vertex Labs,Media,Monthly SaaS,South,Kochi,2019-06-17,2.6,5.8,75000,Churned
CLI-0072,Pinnacle Technologies,Manufacturing,Managed Services,South,Kochi,2021-07-18,4.9,3.7,1000000,Active
CLI-0131,DataWeave Enterprises,Media,Project-Based,East,Bhubaneswar,2021-07-30,3.4,3.7,300000,Active
CLI-0222,InfraMax Enterprises,Logistics,Monthly SaaS,West,Mumbai,2023-08-25,4.7,1.6,150000,Active
CLI-0126,OmniSoft Technologies,Retail,Annual License,West,Ahmedabad,2023-06-16,3.9,1.8,300000,Churned
CLI-0071,Pinnacle Infotech,Insurance,Annual License,East,Bhubaneswar,2022-08-19,4.6,2.6,200000,Active
CLI-0148,SilverEdge Infotech,Healthcare,Annual License,North,Lucknow,2022-05-09,4.7,2.9,150000,Churned
CLI-0188,DataWeave Services,EdTech,Managed Services,South,Unspecified,2023-06-03,4.2,1.8,50000,Active
CLI-0216,BrightPath Infotech,Insurance,Managed Services,East,Unspecified,2021-10-01,,3.5,50000,Active
CLI-0196,Vertex Solutions,Logistics,Managed Services,East,Guwahati,2021-05-17,2.7,3.9,1000000,Active
CLI-0096,NovaTech Services,Media,Project-Based,East,Unspecified,2022-10-04,4.9,2.5,1000000,Active
CLI-0249,SilverEdge Infotech,Retail,Multi-Year,North,Chandigarh,2019-09-10,4.1,5.6,50000,Active
CLI-0011,CoreLogic Infotech,Banking,Multi-Year,North,Delhi,2023-02-07,2.7,2.1,1000000,Churned
CLI-0139,OmniSoft Labs,Unspecified,Managed Services,East,Kolkata,2021-03-31,3,4,100000,Active
CLI-0002,Apex Group,Manufacturing,Managed Services,West,Pune,2021-07-08,4.5,3.7,50000,Churned
CLI-0158,OmniSoft Enterprises,Insurance,Annual License,North,Lucknow,2019-01-25,,6.2,200000,Active
CLI-0127,Zenith Corp,Insurance,Managed Services,West,Pune,2022-05-26,2.8,2.8,300000,Active
CLI-0170,TechVista Services,Logistics,Monthly SaaS,North,Chandigarh,2022-04-27,2.9,2.9,1000000,Active
CLI-0241,Apex Enterprises,Telecom,Monthly SaaS,West,Surat,2021-03-06,4,4.1,150000,Active
CLI-0021,CoreLogic Digital,Media,Annual License,East,Kolkata,2024-04-06,3.2,1,75000,Churned
CLI-0031,SilverEdge Services,Manufacturing,Multi-Year,South,Bangalore,2019-04-05,3.7,6,75000,Active
CLI-0028,Vertex Labs,Banking,Managed Services,South,Hyderabad,2021-06-02,4.2,3.8,300000,Active
CLI-0040,Zenith Enterprises,Healthcare,Managed Services,South,Kochi,2022-12-03,3.4,2.3,75000,Churned
CLI-0092,Vertex Solutions,EdTech,Monthly SaaS,North,Delhi,2022-06-13,3.5,2.8,1000000,At Risk
CLI-0159,CrestLine Technologies,Healthcare,Managed Services,South,Chennai,2020-01-29,3.1,5.2,300000,Active
CLI-0228,SwiftCode Solutions,Logistics,Managed Services,West,Surat,2022-03-18,3.7,3,75000,Active
CLI-0238,Apex Enterprises,Retail,Multi-Year,North,Chandigarh,2020-05-31,4.9,4.8,200000,Active
CLI-0239,SafeHaven Digital,Logistics,Managed Services,North,Delhi,2021-11-13,4.9,3.4,300000,Active
CLI-0053,Pinnacle Enterprises,Unspecified,Project-Based,East,Guwahati,2021-06-15,2.6,3.8,500000,Churned
CLI-0229,BrightPath Digital,Retail,Annual License,West,Pune,2024-04-27,4.9,0.9,150000,Active
CLI-0062,GreenPulse Corp,Government,Project-Based,North,Jaipur,2023-10-12,3.8,1.5,300000,Active
CLI-0206,GreenPulse Corp,Logistics,Monthly SaaS,East,Guwahati,2020-07-10,4.9,4.7,100000,Churned
CLI-0061,Zenith Enterprises,Banking,Multi-Year,East,Kolkata,2023-11-26,2.7,1.3,750000,Active
CLI-0052,BlueOrbit Labs,Healthcare,Managed Services,South,Chennai,2024-02-04,2.9,1.2,50000,Active
CLI-0189,CrestLine Enterprises,Insurance,Annual License,West,Pune,2022-11-11,4.7,2.4,200000,Active
CLI-0128,SafeHaven Group,Insurance,Managed Services,East,Guwahati,2023-07-29,,1.7,300000,Active
CLI-0049,BrightPath Solutions,Retail,Multi-Year,East,Kolkata,2020-05-23,4.4,4.9,150000,Churned
CLI-0255,CloudNine Corp,Retail,Annual License,West,Surat,2024-05-24,4.6,0.9,750000,Churned
CLI-0285,NovaTech Services,Retail,Managed Services,South,Hyderabad,2023-02-11,2.7,2.1,75000,At Risk
CLI-0069,CloudNine Group,Media,Monthly SaaS,South,Hyderabad,2024-02-15,3.7,1.1,200000,Churned
CLI-0056,TechVista Group,Banking,Managed Services,West,Surat,2019-04-22,3.4,5.9,750000,Active
CLI-0256,Vertex Systems,Healthcare,Project-Based,West,Surat,2020-01-07,4.4,5.2,50000,At Risk
CLI-0237,NovaTech Services,Banking,Project-Based,North,Chandigarh,2023-10-15,4.9,1.5,150000,Active
CLI-0122,SwiftCode Technologies,EdTech,Multi-Year,West,Mumbai,2020-07-01,2.9,4.7,50000,Active
CLI-0046,SwiftCode Corp,EdTech,Project-Based,East,Patna,2020-05-29,4.3,4.8,300000,Active
CLI-0280,CloudNine Solutions,Media,Managed Services,South,Bangalore,2019-03-27,,6,500000,Active
CLI-0088,DataWeave Digital,Logistics,Managed Services,West,Surat,2020-08-15,2.6,4.6,300000,Active
CLI-0211,Vertex Systems,Government,Project-Based,West,Surat,2019-03-02,3.6,6.1,300000,Active
CLI-0192,Zenith Systems,Healthcare,Managed Services,North,Chandigarh,2021-06-20,3,3.8,100000,At Risk
CLI-0173,DataWeave Labs,Healthcare,Annual License,North,Jaipur,2020-03-30,3.8,5,150000,Active
CLI-0289,Vertex Solutions,EdTech,Annual License,East,Patna,2022-03-31,2.9,3,500000,Active
CLI-0024,Vertex Corp,Manufacturing,Multi-Year,North,Jaipur,2023-05-17,4.7,1.9,100000,At Risk
CLI-0074,TechVista Services,Manufacturing,Annual License,West,Mumbai,2022-09-19,4.1,2.5,50000,Active
CLI-0064,CloudNine Corp,Logistics,Multi-Year,South,Kochi,2022-03-05,3,3.1,100000,Active
CLI-0068,Zenith Technologies,Banking,Monthly SaaS,West,Mumbai,2022-04-01,2.8,3,200000,Active
CLI-0214,GreenPulse Solutions,Insurance,Managed Services,East,Bhubaneswar,2024-06-17,3.1,0.8,150000,Active
CLI-0240,DataWeave Services,EdTech,Monthly SaaS,East,Patna,2020-01-21,4.4,5.2,50000,Churned
CLI-0275,Apex Group,EdTech,Managed Services,West,Surat,2019-03-31,4.1,6,300000,Active
CLI-0138,SafeHaven Enterprises,Telecom,Multi-Year,North,Jaipur,2019-11-29,4.1,5.3,100000,Active
CLI-0133,GreenPulse Services,Healthcare,Managed Services,West,Surat,2023-08-04,4.4,1.7,100000,Active
CLI-0091,NetDynamic Digital,Government,Monthly SaaS,East,Bhubaneswar,2021-06-19,3.6,3.8,200000,Churned
CLI-0106,TechVista Enterprises,Banking,Project-Based,East,Patna,2023-03-11,,2.1,75000,Active
CLI-0296,InfraMax Group,Logistics,Monthly SaaS,North,Lucknow,2020-04-14,3.7,5,500000,Active
CLI-0293,BrightPath Solutions,Telecom,Annual License,South,Kochi,2022-05-27,4.7,2.8,100000,Active
CLI-0059,NovaTech Services,Logistics,Monthly SaaS,East,Kolkata,2020-08-02,4.6,4.7,750000,At Risk
CLI-0180,SwiftCode Systems,Media,Multi-Year,West,Ahmedabad,2019-10-15,4.6,5.5,50000,At Risk
CLI-0257,DigitalForge Technologies,Logistics,Project-Based,North,Delhi,2020-06-19,2.5,4.8,1000000,Churned
CLI-0057,NetDynamic Enterprises,Healthcare,Annual License,South,Chennai,2020-09-28,3.9,4.5,75000,Active
CLI-0202,SafeHaven Solutions,Logistics,Annual License,West,Ahmedabad,2023-05-04,3.3,1.9,1000000,Active
CLI-0163,Zenith Technologies,Media,Monthly SaaS,North,Delhi,2021-06-14,2.7,3.8,500000,At Risk
CLI-0098,OmniSoft Systems,Government,Project-Based,South,Chennai,2020-01-06,4.4,5.2,100000,Churned
CLI-0067,TechVista Services,Banking,Managed Services,North,Lucknow,2023-09-02,3.2,1.6,150000,Active
CLI-0267,SwiftCode Corp,Unspecified,Monthly SaaS,West,Surat,2022-10-12,4.6,2.5,200000,At Risk
CLI-0124,Unspecified,Banking,Annual License,East,Guwahati,2022-05-08,4.1,2.9,750000,Active
CLI-0287,NovaTech Labs,EdTech,Managed Services,North,Chandigarh,2023-10-03,5,1.5,100000,Churned
CLI-0221,NovaTech Corp,Insurance,Annual License,East,Bhubaneswar,2020-05-26,3.4,4.8,75000,Churned
CLI-0230,Zenith Digital,Unspecified,Monthly SaaS,North,Delhi,2021-03-05,3.9,4.1,200000,Active
CLI-0118,InfraMax Group,Banking,Annual License,South,Hyderabad,2019-12-04,4.8,5.3,150000,Active
