Expense_ID,Department,Category,Vendor,Amount_INR,Budget_Allocated_INR,Variance_INR,Expense_Date,Approval_Status,Payment_Mode,Fiscal_Year,Remarks
EXP-00971,Finance,Training,Oracle,-270391,224861.48,45529.52,2023-03-07,Approved,Credit Card,FY2022-2023,Duplicate entry
EXP-00411,HR,Hardware,Microsoft Azure,410046,483620.72,-73574.72,2024-06-13,Approved,Petty Cash,FY2024-2025,
EXP-00354,Sales,Salaries,Oracle,406494,,-13532.0,2024-09-18,Approved,Credit Card,FY2024-2025,Recurring
EXP-00600,Engineering,Travel,Zoom,66859,75521.94,-8662.94,2024-05-30,Approved,Petty Cash,FY2024-2025,
EXP-00034,Support,Consulting Fees,Oracle,389612,356713.15,32898.85,13/07/2024,Pending,Petty Cash,FY2024-2025,
EXP-00200,Sales,Salaries,TCS,397643,366588.32,,2024-01-18,Pending,Petty Cash,FY2023-2024,
EXP-00925,Sales,Software Licenses,Google Cloud,367122,465065.53,-97943.53,2023-06-07,Pending,Credit Card,FY2023-2024,One-time
EXP-00546,Marketing,Travel,Adobe,65667,72499.12,-6832.12,2023-05-31,Approved,Petty Cash,FY2023-2024,
EXP-00602,,Salaries,Wipro,350446,293167.5,57278.5,2024-04-13,Approved,Vendor Credit,FY2024-2025,
EXP-00083,Support,Maintenance,Wipro,215496,269360.68,,2024-05-15,Rejected,Petty Cash,FY2024-2025,Duplicate entry
EXP-00750,Sales,Recruitment,Freshdesk,7227,9023.9,-1796.9,2023-07-24,Approved,Vendor Credit,FY2023-2024,
EXP-00172,Operations,Travel,AWS,481644,431586.58,50057.42,2024-02-16,Approved,Vendor Credit,FY2023-2024,Urgent
EXP-00531,Sales,Recruitment,AWS,-214583,220195.61,-5612.61,2023-08-19,Approved,Petty Cash,FY2023-2024,
EXP-00337,Sales,Utilities,HubSpot,71717,89231.77,-17514.77,2024-10-08,Approved,Credit Card,FY2024-2025,Urgent
EXP-00832,Engineering,Training,Infosys,352092,424330.22,-72238.22,2024-09-05,Approved,Bank Transfer,FY2024-2025,One-time
EXP-00717,HR,Office Supplies,Internal,3606815,3411626.72,195188.28,2024-06-21,Pending,Bank Transfer,FY2024-2025,Recurring
EXP-00601,Sales,Cloud Infrastructure,Wipro,128850,118183.64,10666.36,2023-08-05,Approved,Vendor Credit,FY2023-2024,
EXP-00275,Operations,Utilities,SAP,166769,196065.31,-29296.31,2023-09-06,Approved,Credit Card,FY2023-2024,Recurring
EXP-00466,Support,Software Licenses,Adobe,454117,,-112004.76,2023-05-31,Approved,Vendor Credit,FY2023-2024,Under review
EXP-00663,Sales,Recruitment,Google Cloud,225901,254208.33,-28307.33,2024-08-16,Approved,Petty Cash,FY2024-2025,Recurring
EXP-00954,Engineering,Training,AWS,173047,149662.31,,2023-11-19,Approved,Vendor Credit,FY2023-2024,Under review
EXP-00024,Finance,Maintenance,Infosys,247370,268703.57,-21333.57,2024-09-19,Approved,Bank Transfer,FY2024-2025,
EXP-00430,Engineering,Marketing Spend,Wipro,295595,333028.71,-37433.71,2024-09-20,Pending,Vendor Credit,FY2024-2025,Urgent
EXP-00219,Finance,Training,HubSpot,344780,378391.66,-33611.66,2023-02-19,Approved,Bank Transfer,FY2022-2023,
EXP-00318,Finance,Training,Slack,228003,192790.08,35212.92,2024-03-15,Approved,Credit Card,FY2023-2024,Under review
EXP-00235,Support,Training,Internal,205500,166546.9,38953.1,2023-09-11,Approved,Vendor Credit,FY2023-2024,Duplicate entry
EXP-00231,Sales,Utilities,Adobe,336583,372109.92,-35526.92,2023-02-26,Approved,Credit Card,FY2022-2023,Under review
EXP-00680,Support,Recruitment,Jira,76037,88996.48,-12959.48,2023-10-30,Approved,Bank Transfer,FY2023-2024,
EXP-00301,Support,Hardware,Internal,51292,52199.26,-907.26,2023-11-20,Approved,Petty Cash,FY2023-2024,Urgent
EXP-00617,Support,Training,HubSpot,-307191,328740.27,-21549.27,2025-01-27,Approved,Bank Transfer,FY2024-2025,Under review
EXP-00994,Operations,Marketing Spend,Infosys,333909,401580.86,-67671.86,2024-01-26,Rejected,Bank Transfer,FY2023-2024,Recurring
EXP-00548,Finance,Training,SAP,325449,392529.63,-67080.63,2025-02-21,Approved,Bank Transfer,FY2024-2025,Urgent
EXP-00738,Operations,Consulting Fees,Wipro,10526,9003.53,1522.47,2023-10-18,Approved,Bank Transfer,FY2023-2024,Under review
EXP-00490,Sales,,SAP,464884,581075.86,-116191.86,2024-12-10,Rejected,Vendor Credit,FY2024-2025,Duplicate entry
EXP-00449,Sales,Recruitment,Adobe,265649,235191.89,30457.11,2024-01-07,Approved,Credit Card,FY2023-2024,
EXP-00147,Finance,Travel,Adobe,32268,26832.63,5435.37,2023-08-19,Approved,Credit Card,FY2023-2024,Under review
EXP-00348,Finance,Hardware,Wipro,79555,101962.75,-22407.75,2023-02-01,Approved,Bank Transfer,FY2022-2023,
EXP-00372,Sales,Utilities,Zoom,411030,392369.5,18660.5,2023-02-09,Approved,Vendor Credit,FY2022-2023,
EXP-00397,Finance,Cloud Infrastructure,HubSpot,2583687,2695007.68,-111320.68,2024-12-29,Pending,Vendor Credit,FY2024-2025,
EXP-00806,Sales,Travel,Zoom,99203,111995.57,-12792.57,2024-11-20,Approved,Bank Transfer,FY2024-2025,
EXP-00660,Support,Training,Adobe,413818,475823.4,-62005.4,2024-06-18,Pending,Credit Card,FY2024-2025,
EXP-00207,HR,Utilities,Internal,277583,262488.11,15094.89,2023-12-10,Pending,Credit Card,FY2023-2024,Urgent
EXP-00085,Sales,Training,Salesforce,457651,467629.28,-9978.28,2024-01-16,Approved,Vendor Credit,FY2023-2024,Urgent
EXP-00209,Support,Salaries,Google Cloud,62205,68491.3,,2024-01-15,Approved,Petty Cash,FY2023-2024,Recurring
EXP-00089,Support,Utilities,HubSpot,395114,453184.31,-58070.31,2023-03-13,Pending,Petty Cash,FY2022-2023,Urgent
EXP-00889,Sales,Office Supplies,Microsoft Azure,97690,91260.03,6429.97,2024-05-28,Approved,Petty Cash,FY2024-2025,
EXP-00899,Operations,Recruitment,Zoom,491563,637066.96,-145503.96,2023-01-11,Approved,Vendor Credit,FY2022-2023,Recurring
EXP-00470,Support,Maintenance,Oracle,417255,398887.4,18367.6,2023-10-29,Approved,Vendor Credit,FY2023-2024,Duplicate entry
EXP-00720,Engineering,Utilities,HubSpot,388564,433099.82,-44535.82,2024-01-11,Approved,Credit Card,FY2023-2024,Urgent
EXP-00033,Sales,,Salesforce,476675,601228.87,-124553.87,2024-05-14,Approved,Vendor Credit,FY2024-2025,Duplicate entry
EXP-00636,Sales,Software Licenses,HubSpot,118973,134000.41,-15027.41,2025-01-14,Approved,Vendor Credit,FY2024-2025,
EXP-00382,Support,Maintenance,SAP,22538,19899.53,2638.47,2024-05-13,Approved,Vendor Credit,FY2024-2025,
EXP-00550,Finance,Office Supplies,Zoom,443662,,85569.69,2025-01-16,Pending,Vendor Credit,FY2024-2025,One-time
EXP-00163,Support,Travel,Slack,353333,458964.2,-105631.2,2025-02-14,Approved,Credit Card,FY2024-2025,Urgent
EXP-00795,Marketing,Recruitment,Oracle,290249,369613.63,-79364.63,2024-01-08,Approved,Petty Cash,FY2023-2024,Under review
EXP-00727,Finance,Travel,HubSpot,309034,273262.53,35771.47,2024-04-02,Pending,Petty Cash,FY2024-2025,Recurring
EXP-00403,Engineering,Travel,Microsoft Azure,106902,123641.31,-16739.31,2023-04-06,Pending,Credit Card,FY2023-2024,
EXP-00569,Operations,Travel,Freshdesk,429973,376365.53,53607.47,2023-10-31,Pending,Vendor Credit,FY2023-2024,
EXP-00396,Operations,Office Supplies,AWS,206116,229625.18,-23509.18,11/02/2025,Pending,Vendor Credit,FY2024-2025,
EXP-00865,,Travel,Microsoft Azure,1422304,1675743.07,-253439.07,2024-01-19,Approved,Bank Transfer,FY2023-2024,Recurring
EXP-00271,Operations,Software Licenses,Adobe,495376,532148.51,-36772.51,2025-03-12,Pending,Petty Cash,FY2024-2025,Recurring
EXP-00272,HR,Cloud Infrastructure,Zoom,374421,472252.91,-97831.91,2023-07-18,Approved,Credit Card,FY2023-2024,
EXP-00583,HR,Office Supplies,Slack,277952,236373.9,41578.1,2025-01-08,Rejected,Credit Card,FY2024-2025,
EXP-00533,Finance,Maintenance,Salesforce,314597,405247.51,-90650.51,2024-10-11,Pending,Bank Transfer,FY2024-2025,Recurring
EXP-00371,Support,Software Licenses,Internal,109346,139986.84,-30640.84,2023-09-09,Pending,Credit Card,FY2023-2024,Recurring
EXP-00835,Sales,Office Supplies,Freshdesk,-57182,60104.14,,2023-05-05,Approved,Bank Transfer,FY2023-2024,
EXP-00923,HR,Office Supplies,SAP,429501,466352.17,-36851.17,2024-12-12,Pending,Credit Card,FY2024-2025,Recurring
EXP-00169,Sales,Travel,Salesforce,478753,566440.71,-87687.71,2023-08-26,Pending,Bank Transfer,FY2023-2024,Recurring
EXP-00683,Sales,Training,Slack,62031,62498.04,-467.04,2023-09-09,Rejected,Bank Transfer,FY2023-2024,
EXP-00506,Marketing,Marketing Spend,Slack,288581,353638.16,-65057.16,2024-11-06,Approved,Bank Transfer,FY2024-2025,Duplicate entry
EXP-00540,Marketing,Utilities,Oracle,123062,152975.35,-29913.35,2023-10-01,Pending,Vendor Credit,FY2023-2024,Duplicate entry
EXP-00532,Marketing,Consulting Fees,Google Cloud,481569,451100.97,30468.03,2023-06-01,Approved,Petty Cash,FY2023-2024,
EXP-00898,Sales,Consulting Fees,Salesforce,163410,200577.85,,15/06/2024,Approved,Bank Transfer,FY2024-2025,Urgent
EXP-00179,HR,Travel,TCS,377326,461081.99,-83755.99,2023-11-25,Approved,Vendor Credit,FY2023-2024,
EXP-00321,Operations,Marketing Spend,TCS,79297,66599.44,12697.56,2023-04-07,Approved,Petty Cash,FY2023-2024,Under review
EXP-00514,Finance,Hardware,Salesforce,487901,465035.01,22865.99,2024-04-09,Approved,Credit Card,FY2024-2025,
EXP-00407,Support,Marketing Spend,TCS,369434,401049.67,-31615.67,2023-11-12,Approved,Vendor Credit,FY2023-2024,
EXP-00053,Finance,Consulting Fees,Adobe,132717,125986.01,6730.99,2023-10-30,Approved,Vendor Credit,FY2023-2024,Under review
EXP-00530,Engineering,Training,HubSpot,367110,473125.19,-106015.19,2023-04-06,Approved,Vendor Credit,FY2023-2024,One-time
EXP-00838,Engineering,Software Licenses,Adobe,308360,252679.46,55680.54,2025-03-20,Pending,Credit Card,FY2024-2025,Under review
EXP-00150,Sales,Hardware,Oracle,224677,281998.19,-57321.19,2023-09-20,Approved,Credit Card,FY2023-2024,Recurring
EXP-00553,Operations,Utilities,Jira,494166,404213.86,89952.14,2023-10-04,Approved,Petty Cash,FY2023-2024,Under review
EXP-00767,HR,Office Supplies,Microsoft Azure,195900,190971.73,4928.27,2025-03-05,Approved,Credit Card,FY2024-2025,
EXP-00754,Sales,Cloud Infrastructure,Adobe,335390,302933.23,32456.77,2025-02-10,Approved,Petty Cash,FY2024-2025,One-time
EXP-00552,Engineering,Salaries,Salesforce,177021,158438.09,18582.91,2024-07-27,Pending,Bank Transfer,FY2024-2025,
EXP-00941,HR,Consulting Fees,Microsoft Azure,314105,386778.37,-72673.37,2023-07-30,Rejected,Credit Card,FY2023-2024,
EXP-00876,Operations,Recruitment,Wipro,3110100,2633787.69,476312.31,2023-08-16,Pending,Credit Card,FY2023-2024,
EXP-00909,Sales,Consulting Fees,Google Cloud,262104,215755.98,46348.02,2023-01-23,Approved,Bank Transfer,FY2022-2023,Recurring
EXP-00475,Marketing,Training,Microsoft Azure,298624,355869.66,-57245.66,2025-03-13,Approved,Bank Transfer,FY2024-2025,
EXP-00250,Operations,Recruitment,Freshdesk,244479,229972.17,14506.83,2023-06-15,Approved,Petty Cash,FY2023-2024,One-time
EXP-00917,Sales,Travel,HubSpot,458092,415250.85,42841.15,2023-09-03,Approved,Vendor Credit,FY2023-2024,Urgent
EXP-00915,HR,Marketing Spend,Oracle,216848,187274.9,,2025-03-02,Approved,Credit Card,FY2024-2025,
EXP-00739,Engineering,Training,TCS,369273,394727.13,-25454.13,2023-05-18,Approved,Petty Cash,FY2023-2024,
EXP-00517,Engineering,Training,Wipro,482284,386418.85,95865.15,2023-08-03,Approved,Petty Cash,FY2023-2024,
EXP-00778,HR,Travel,Zoom,114547,143027.81,-28480.81,2023-01-22,Approved,Vendor Credit,FY2022-2023,Under review
EXP-00057,Support,Recruitment,Infosys,334243,335560.21,-1317.21,2024-07-14,Approved,Bank Transfer,FY2024-2025,
EXP-00424,Finance,Salaries,AWS,47119,38820.36,8298.64,2023-11-28,Rejected,Bank Transfer,FY2023-2024,
EXP-00267,HR,Travel,Microsoft Azure,364029,317442.38,46586.62,2024-08-10,Approved,Petty Cash,FY2024-2025,Under review
EXP-00227,Operations,Travel,Jira,169355,195933.87,-26578.87,2023-03-29,Approved,Bank Transfer,FY2022-2023,Recurring
EXP-00263,Engineering,Utilities,HubSpot,137124,141448.92,-4324.92,2024-04-09,Pending,Bank Transfer,FY2024-2025,
EXP-00365,Marketing,,AWS,326044,276349.54,49694.46,2023-10-01,Approved,Vendor Credit,FY2023-2024,
EXP-00045,Finance,Recruitment,Infosys,488286,445059.53,43226.47,2023-02-22,Pending,Credit Card,FY2022-2023,Duplicate entry
EXP-00108,Sales,Hardware,Slack,249928,252956.29,-3028.29,2024-10-12,Approved,Petty Cash,FY2024-2025,
EXP-00849,Finance,Consulting Fees,Slack,380262,429276.79,-49014.79,2024-08-16,Approved,Credit Card,FY2024-2025,
EXP-00015,,Cloud Infrastructure,HubSpot,497608,610444.69,-112836.69,2024-09-06,Rejected,Vendor Credit,FY2024-2025,
EXP-00568,Marketing,Travel,Internal,132369,155770.21,-23401.21,2024-11-03,Approved,Vendor Credit,FY2024-2025,One-time
EXP-00319,Operations,Cloud Infrastructure,Slack,113120,128850.06,-15730.06,2024-04-27,Approved,Credit Card,FY2024-2025,
EXP-00254,Finance,Training,Internal,339860,388536.49,-48676.49,2025-01-23,Approved,Vendor Credit,FY2024-2025,
EXP-00794,Support,Maintenance,Salesforce,51429,53477.37,-2048.37,2024-12-31,Approved,Bank Transfer,FY2024-2025,One-time
EXP-00095,Finance,Marketing Spend,Zoom,115872,115147.65,724.35,2024-12-30,Approved,Petty Cash,FY2024-2025,
EXP-00148,Sales,Utilities,Salesforce,365187,331945.39,33241.61,2024-04-22,Approved,Bank Transfer,FY2024-2025,Recurring
EXP-00693,Marketing,Travel,Slack,171763,214301.63,-42538.63,2025-02-19,Approved,Petty Cash,FY2024-2025,Urgent
EXP-00801,Finance,Travel,TCS,348146,280719.95,67426.05,2023-07-04,Approved,Vendor Credit,FY2023-2024,
EXP-00891,Support,Salaries,TCS,480801,468031.05,12769.95,2023-12-05,Approved,Credit Card,FY2023-2024,
EXP-00621,Marketing,Utilities,TCS,428532,371172.94,57359.06,2024-11-30,Approved,Petty Cash,FY2024-2025,Duplicate entry
EXP-00741,Finance,Travel,TCS,27222,29959.3,-2737.3,2025-02-06,Pending,Credit Card,FY2024-2025,
EXP-00474,,Maintenance,Jira,242230,281806.86,-39576.86,12/01/2024,Approved,Petty Cash,FY2023-2024,
EXP-00324,Finance,Travel,TCS,392038,455114.05,-63076.05,2023-12-22,Pending,Petty Cash,FY2023-2024,Under review
EXP-00884,Operations,Marketing Spend,AWS,410556,369988.01,40567.99,2024-05-20,Approved,Petty Cash,FY2024-2025,
EXP-00557,HR,Marketing Spend,HubSpot,316670,330471.41,-13801.41,2025-02-23,Approved,Credit Card,FY2024-2025,Recurring
EXP-00592,Marketing,Recruitment,Freshdesk,160486,139737.38,20748.62,2024-02-05,Pending,Vendor Credit,FY2023-2024,
EXP-00290,HR,Marketing Spend,Salesforce,109864,96347.03,13516.97,2024-09-25,Approved,Bank Transfer,FY2024-2025,
EXP-00061,HR,Travel,Slack,61031,71993.47,-10962.47,2024-02-17,Approved,Credit Card,FY2023-2024,Duplicate entry
EXP-00002,Sales,Training,Infosys,464497,444903.98,19593.02,2023-06-30,Approved,Vendor Credit,FY2023-2024,
EXP-00512,Engineering,Hardware,Adobe,422084,,-106956.09,2024-01-19,Approved,Petty Cash,FY2023-2024,
EXP-00031,Support,Travel,Jira,477890,544686.33,-66796.33,2024-12-05,Approved,Petty Cash,FY2024-2025,One-time
EXP-00675,,Salaries,Salesforce,337982,423284.97,-85302.97,2025-03-18,Approved,Petty Cash,FY2024-2025,
EXP-00477,HR,,Freshdesk,454577,580311.71,-125734.71,2023-04-02,Approved,Petty Cash,FY2023-2024,
EXP-00654,,Travel,Adobe,226756,211964.68,14791.32,2024-05-03,Approved,Credit Card,FY2024-2025,
EXP-00679,Marketing,Marketing Spend,Google Cloud,244563,224303.12,20259.88,2023-11-17,Approved,Petty Cash,FY2023-2024,Duplicate entry
EXP-00360,Operations,Software Licenses,Freshdesk,349024,295827.33,53196.67,2024-05-02,Approved,Petty Cash,FY2024-2025,Duplicate entry
EXP-00627,Engineering,Cloud Infrastructure,Internal,39030,46367.88,-7337.88,2024-02-28,Approved,Credit Card,FY2023-2024,One-time
EXP-00587,Sales,Marketing Spend,SAP,499533,550589.56,-51056.56,2024-01-19,Approved,Bank Transfer,FY2023-2024,Recurring
EXP-00180,Engineering,Hardware,HubSpot,42427,43196.66,-769.66,2023-07-28,Rejected,Credit Card,FY2023-2024,
EXP-00982,Finance,Training,Slack,176689,163052.02,13636.98,2024-04-16,Approved,Petty Cash,FY2024-2025,Recurring
EXP-00564,HR,Salaries,HubSpot,83678,69242.31,14435.69,2023-01-13,Approved,Credit Card,FY2022-2023,
EXP-00203,Engineering,Training,SAP,-457910,396108.52,61801.48,2024-09-27,Pending,Petty Cash,FY2024-2025,
EXP-01000,Marketing,Maintenance,Oracle,153180,192658.0,-39478.0,2023-06-07,Rejected,Vendor Credit,FY2023-2024,Urgent
EXP-00944,Operations,Software Licenses,Slack,488021,444651.21,43369.79,2023-08-23,Approved,Bank Transfer,FY2023-2024,Duplicate entry
EXP-00246,Operations,Cloud Infrastructure,AWS,-200949,190209.9,10739.1,2024-03-29,Approved,Bank Transfer,FY2023-2024,Under review
EXP-00011,Marketing,Software Licenses,Google Cloud,145470,180539.45,-35069.45,2024-10-04,Rejected,Bank Transfer,FY2024-2025,
EXP-00501,,Recruitment,Freshdesk,240723,257329.16,-16606.16,2024-10-08,Approved,Credit Card,FY2024-2025,
EXP-00580,Sales,Recruitment,Google Cloud,446250,566865.56,-120615.56,2025-01-11,Rejected,Bank Transfer,FY2024-2025,
EXP-00410,Sales,Cloud Infrastructure,Internal,166850,169233.68,-2383.68,2024-10-29,Approved,Credit Card,FY2024-2025,One-time
EXP-00961,Sales,Office Supplies,SAP,196494,177665.33,18828.67,2024-12-29,Pending,Petty Cash,FY2024-2025,Duplicate entry
EXP-00334,Marketing,Travel,AWS,408520,396403.55,12116.45,2023-06-06,Pending,Credit Card,FY2023-2024,One-time
EXP-00977,Sales,Consulting Fees,AWS,421940,481074.03,-59134.03,25/11/2023,Approved,Vendor Credit,FY2023-2024,Recurring
EXP-00695,Sales,Software Licenses,Slack,216958,200250.56,16707.44,2023-01-03,Rejected,Bank Transfer,FY2022-2023,
EXP-00431,Marketing,Hardware,Infosys,-415686,,-120435.6,2023-05-19,Approved,Petty Cash,FY2023-2024,Duplicate entry
EXP-00990,Support,Marketing Spend,Zoom,184393,177852.39,6540.61,16/07/2023,Rejected,Petty Cash,FY2023-2024,Urgent
EXP-00356,HR,Maintenance,Jira,179590,150858.98,28731.02,2023-06-16,Approved,Bank Transfer,FY2023-2024,Under review
EXP-00582,Sales,Marketing Spend,Microsoft Azure,273756,346697.43,-72941.43,2023-02-25,Approved,Bank Transfer,FY2022-2023,Duplicate entry
EXP-00666,Operations,Recruitment,Infosys,198526,,-637.71,2024-01-04,Approved,Petty Cash,FY2023-2024,Duplicate entry
EXP-00300,Engineering,Salaries,Adobe,122121,133734.62,-11613.62,2024-10-21,Approved,Credit Card,FY2024-2025,One-time
EXP-00226,HR,Recruitment,Freshdesk,269682,285890.94,-16208.94,2023-06-01,Approved,Bank Transfer,FY2023-2024,
EXP-00420,Finance,Training,TCS,231321,266216.59,-34895.59,2023-04-18,Approved,Vendor Credit,FY2023-2024,
EXP-00924,Engineering,Consulting Fees,Slack,140762,149735.55,-8973.55,12/12/2024,Pending,Vendor Credit,FY2024-2025,
EXP-00373,Sales,Office Supplies,Slack,28743,37250.66,-8507.66,2023-08-26,Rejected,Petty Cash,FY2023-2024,Under review
EXP-00109,Sales,Software Licenses,Internal,100219,105905.2,-5686.2,2023-05-26,Approved,Credit Card,FY2023-2024,Under review
EXP-00706,Engineering,Hardware,Microsoft Azure,84007,85989.72,-1982.72,2023-05-14,Approved,Vendor Credit,FY2023-2024,
EXP-00351,Operations,Travel,Microsoft Azure,154564,152945.44,1618.56,2024-01-04,Rejected,Bank Transfer,FY2023-2024,
EXP-00001,Marketing,Recruitment,SAP,263639,307345.42,-43706.42,2024-06-24,Approved,Credit Card,FY2024-2025,
EXP-00104,Finance,Travel,HubSpot,179272,163363.64,15908.36,2025-01-28,Approved,Vendor Credit,FY2024-2025,Under review
EXP-00096,Finance,Travel,Microsoft Azure,163804,169256.65,-5452.65,2024-02-18,Pending,Credit Card,FY2023-2024,Urgent
EXP-00195,HR,Hardware,Zoom,464663,446327.43,18335.57,2024-02-26,Approved,Petty Cash,FY2023-2024,
EXP-00467,Operations,Hardware,Infosys,108818,96064.58,12753.42,2023-07-23,Approved,Bank Transfer,FY2023-2024,
EXP-00138,Operations,Marketing Spend,Wipro,209841,267667.65,-57826.65,2024-10-01,Approved,Credit Card,FY2024-2025,One-time
EXP-00445,HR,Maintenance,Wipro,403040,409228.69,-6188.69,2023-04-02,Approved,Vendor Credit,FY2023-2024,
EXP-00671,Sales,Maintenance,HubSpot,391100,435730.43,-44630.43,2025-01-02,Pending,Petty Cash,FY2024-2025,Urgent
EXP-00454,Finance,Salaries,AWS,218566,184113.08,34452.92,2024-05-29,Pending,Bank Transfer,FY2024-2025,Duplicate entry
EXP-00193,Operations,Recruitment,Slack,256504,211732.84,44771.16,2024-04-16,Approved,Credit Card,FY2024-2025,One-time
EXP-00682,Engineering,Hardware,Oracle,62023,63121.35,-1098.35,2024-11-20,Pending,Petty Cash,FY2024-2025,
EXP-00776,Sales,Marketing Spend,Jira,402315,503453.96,-101138.96,2023-03-18,Approved,Vendor Credit,FY2022-2023,
EXP-00686,Engineering,Maintenance,Microsoft Azure,190234,195022.49,-4788.49,2024-02-01,Approved,Vendor Credit,FY2023-2024,One-time
EXP-00561,Support,Travel,Jira,430666,491719.94,-61053.94,2023-07-18,Approved,Bank Transfer,FY2023-2024,Recurring
EXP-00049,Finance,Hardware,SAP,426807,517878.65,-91071.65,2023-06-05,Approved,Petty Cash,FY2023-2024,Recurring
EXP-00872,Engineering,Office Supplies,AWS,81607,88342.07,-6735.07,2023-08-14,Approved,Bank Transfer,FY2023-2024,Recurring
EXP-00981,Engineering,Marketing Spend,Freshdesk,-1506386,1551861.49,-45475.49,2025-02-16,Pending,Credit Card,FY2024-2025,One-time
EXP-00628,Marketing,Training,AWS,163855,132397.54,31457.46,2024-07-14,Approved,Credit Card,FY2024-2025,
EXP-00765,Marketing,Cloud Infrastructure,Oracle,369117,446534.05,-77417.05,2023-07-20,Approved,Petty Cash,FY2023-2024,Under review
EXP-00854,Finance,Software Licenses,Google Cloud,7963,7018.02,944.98,2023-01-23,Approved,Bank Transfer,FY2022-2023,One-time
EXP-00726,Engineering,Office Supplies,Adobe,188886,226410.36,-37524.36,2023-04-08,Approved,Vendor Credit,FY2023-2024,Under review
EXP-00560,Sales,Office Supplies,Infosys,276595,268972.81,7622.19,2024-07-24,Approved,Vendor Credit,FY2024-2025,
EXP-00573,Sales,Marketing Spend,Jira,44240,52340.94,-8100.94,2023-05-10,Approved,Bank Transfer,FY2023-2024,Urgent
EXP-00598,HR,Cloud Infrastructure,Adobe,143366,181407.49,-38041.49,2024-05-16,Approved,Bank Transfer,FY2024-2025,Duplicate entry
EXP-00198,HR,Office Supplies,Microsoft Azure,258034,224063.19,33970.81,2023-11-12,Approved,Petty Cash,FY2023-2024,Urgent
EXP-00938,Support,Travel,Slack,281507,318929.33,-37422.33,2024-10-23,Approved,Bank Transfer,FY2024-2025,Urgent
EXP-00681,Operations,Consulting Fees,Infosys,-39522,49554.94,-10032.94,2023-09-22,Approved,Bank Transfer,FY2023-2024,Under review
