Ticket_ID,Client_ID,Product,Issue_Type,Priority,Created_Date,Resolved_Date,Resolution_Hours,SLA_Target_Hours,SLA_Met,Status,Assigned_Agent,Contact_Channel,Customer_Satisfaction
TKT-03060,CLI-0057,DevOps Accelerator,Performance Lag,Medium,2024-07-17,2024-07-19,54.8,24,No,Resolved,Deepika Mishra,Email,4
TKT-03487,CLI-0205,CloudShift Platform,Data Sync Error,Medium,2023-02-26,,,24,No,Escalated,Manish Nair,Email,
TKT-03741,CLI-0183,SecureNet Suite,Onboarding Support,Medium,2023-04-30,,,24,Yes,Open,Manish Nair,Email,
TKT-01257,CLI-0068,AnalyticsEdge,Feature Request,High,2023-05-30,2023-05-30,14.0,8,No,Resolved,Nikhil Mehta,Chat,5
TKT-01790,CLI-0205,AI Insights Module,Server Downtime,Medium,02/06/2024,,,24,,Open,Manish Nair,Portal,
TKT-02799,CLI-0093,CloudShift Platform,Access Permission Issue,Low,2023-03-14,,,48,No,Open,Kavya Iyer,Email,
TKT-00635,CLI-0099,AnalyticsEdge,Onboarding Support,Medium,2023-12-24,,,24,Yes,Escalated,Kavya Iyer,Chat,
TKT-01805,CLI-0161,DataVault Pro,Report Inaccuracy,Low,2025-03-13,2025-03-13,11.8,48,Yes,Resolved,Neha Gupta,Chat,3
TKT-03253,CLI-0121,SecureNet Suite,Server Downtime,Medium,2024-07-23,2024-07-24,39.3,24,No,Resolved,Pooja Gupta,Email,2
TKT-00709,CLI-0017,AI Insights Module,Data Sync Error,Critical,2024-09-04,,,4,No,Open,,Email,
TKT-00343,CLI-0127,CloudShift Platform,Access Permission Issue,Medium,2025-03-06,2025-03-07,31.4,24,No,Resolved,Neha Gupta,Chat,4
TKT-03567,CLI-0107,AI Insights Module,Server Downtime,Critical,2023-09-07,2023-09-07,8.7,4,No,Resolved,,Email,4
TKT-02295,CLI-0158,SecureNet Suite,Login Issue,Low,2024-05-19,,,48,Yes,Open,Priya Nair,Portal,
TKT-02678,CLI-0279,AnalyticsEdge,Data Sync Error,Low,2024-09-06,2024-09-08,67.1,48,No,Resolved,Siddharth Reddy,Portal,4
TKT-03086,CLI-0298,DataVault Pro,Onboarding Support,Low,2024-01-23,2024-01-24,32.4,48,Yes,Resolved,Pooja Gupta,Phone,4
TKT-00950,CLI-0014,AI Insights Module,Login Issue,Low,2024-11-01,2024-11-05,105.1,48,No,Resolved,Pooja Patel,Phone,4
TKT-02137,CLI-0088,CloudShift Platform,Login Issue,Low,2024-10-06,,,48,Yes,In Progress,Kavya Iyer,Phone,
TKT-03836,CLI-0080,CloudShift Platform,Performance Lag,Medium,2023-03-31,,,24,Yes,Escalated,Kavya Iyer,Portal,
TKT-03334,CLI-0165,AnalyticsEdge,Login Issue,Critical,2023-12-04,2023-12-04,2.5,4,Yes,Resolved,Rahul Das,Portal,
TKT-03902,CLI-0278,DevOps Accelerator,Onboarding Support,Low,2024-03-24,2024-03-25,40.3,48,Yes,Resolved,Rahul Das,Phone,5
TKT-02387,CLI-0265,DevOps Accelerator,Server Downtime,Critical,2024-12-20,2024-12-20,7.5,4,No,Resolved,Karan Gupta,Portal,4
TKT-03282,CLI-0089,AI Insights Module,Onboarding Support,Medium,2024-02-10,,,24,Yes,In Progress,Manish Nair,Email,
TKT-03494,CLI-0134,DevOps Accelerator,Server Downtime,Medium,2023-09-27,,,24,No,Escalated,Arjun Mishra,Phone,
TKT-02380,CLI-0131,AI Insights Module,Performance Lag,Medium,2024-02-08,,,24,No,In Progress,Priya Patel,Phone,
TKT-03553,CLI-0150,DevOps Accelerator,Access Permission Issue,Low,2023-06-02,,,48,No,Escalated,Rahul Das,Phone,
TKT-03523,CLI-0104,DevOps Accelerator,Report Inaccuracy,Medium,2024-08-26,2024-08-27,24.6,24,No,Resolved,Neha Gupta,Email,3
TKT-03577,CLI-0086,DevOps Accelerator,Billing Query,Low,2024-06-06,,,48,No,In Progress,Kavya Iyer,Phone,
TKT-00070,CLI-0172,DataVault Pro,Login Issue,High,2025-03-23,,,8,No,Escalated,Pooja Iyer,Email,
TKT-02556,CLI-0206,DataVault Pro,billing query,High,03/03/2023,2023-03-03,9.1,8,No,Resolved,Neha Gupta,Email,2
TKT-01161,CLI-0037,CloudShift Platform,api integration failure,Low,2023-05-31,,,48,No,Escalated,Deepika Mishra,Portal,
TKT-03580,CLI-0222,SecureNet Suite,Feature Request,High,2024-11-28,,,8,Yes,In Progress,Deepika Mishra,Email,
TKT-03327,CLI-0069,DevOps Accelerator,Billing Query,Medium,2024-02-02,,,24,No,Open,Pooja Iyer,Chat,
TKT-03342,CLI-0274,AnalyticsEdge,Dashboard Bug,Low,2025-03-23,2025-03-23,11.9,48,Yes,Resolved,Siddharth Reddy,Portal,5
TKT-00112,CLI-0077,DevOps Accelerator,Server Downtime,Low,2024-09-16,2024-09-17,36.1,48,Yes,Resolved,Rahul Das,Email,3
TKT-01800,CLI-0088,AI Insights Module,API Integration Failure,Medium,2024-02-19,2024-02-19,14.4,24,Yes,Resolved,Rahul Das,Phone,2
TKT-02619,CLI-0087,AnalyticsEdge,Access Permission Issue,Low,2024-07-01,,,48,No,Open,Karan Rao,Portal,
TKT-03979,CLI-0283,SecureNet Suite,Server Downtime,High,2023-03-22,,,8,No,Open,Ananya Joshi,Portal,
TKT-00369,CLI-0112,DataVault Pro,Server Downtime,Critical,2023-02-21,,,4,No,In Progress,Deepika Mishra,Chat,
TKT-02046,CLI-0278,DataVault Pro,Report Inaccuracy,Medium,2024-11-22,,,24,Yes,In Progress,Karan Rao,Chat,
TKT-02983,CLI-0074,DataVault Pro,Performance Lag,Critical,2023-03-23,,,4,No,In Progress,Siddharth Reddy,Phone,
TKT-02680,CLI-0270,AnalyticsEdge,Billing Query,High,2024-04-05,,,8,No,Open,Divya Verma,Phone,
TKT-00221,CLI-0255,DataVault Pro,Dashboard Bug,High,2024-09-02,2024-09-02,1.8,8,Yes,Resolved,Pooja Iyer,Email,4
TKT-01719,CLI-0121,DevOps Accelerator,Server Downtime,Medium,2024-03-19,2024-03-20,47.2,24,No,Resolved,Priya Nair,Phone,5
TKT-02963,CLI-0279,DevOps Accelerator,Access Permission Issue,High,2023-07-11,,,8,Yes,Open,Kavya Iyer,Phone,
TKT-00253,CLI-0097,CloudShift Platform,Dashboard Bug,High,2023-04-19,2023-04-19,12.5,8,No,Resolved,Manish Nair,Email,5
TKT-03096,CLI-0198,AnalyticsEdge,Feature Request,Medium,2024-02-08,,,24,Yes,In Progress,,Email,
TKT-03957,CLI-0230,CloudShift Platform,Security Alert,Medium,2023-10-26,2023-10-27,41.2,24,No,Resolved,Manish Nair,Email,
TKT-01175,CLI-0097,AI Insights Module,Feature Request,Medium,2024-04-27,28-04-2024,27.4,24,No,Resolved,Deepika Mishra,Chat,5
TKT-02787,CLI-0280,DevOps Accelerator,Onboarding Support,Low,2024-09-14,,,48,No,In Progress,Priya Patel,Portal,
TKT-02896,CLI-0143,AnalyticsEdge,Server Downtime,Medium,2024-04-21,,,24,No,Open,Arjun Mishra,Phone,
TKT-01696,CLI-0272,CloudShift Platform,Report Inaccuracy,Critical,2025-01-24,,,4,No,Open,Divya Verma,Email,
TKT-02414,CLI-0002,DevOps Accelerator,report inaccuracy,Low,2023-11-01,,,48,No,In Progress,Priya Patel,Portal,
TKT-01537,CLI-0106,DataVault Pro,Access Permission Issue,High,2023-05-06,2023-05-06,9.7,8,No,Resolved,Divya Reddy,Email,5
TKT-03857,CLI-0047,DevOps Accelerator,Onboarding Support,High,2024-04-30,2024-04-30,3.8,8,Yes,Resolved,Ananya Joshi,Phone,3
TKT-02796,CLI-0079,CloudShift Platform,Data Sync Error,Medium,2025-01-23,2025-01-23,19.1,24,Yes,Resolved,Karan Gupta,Email,2
TKT-02458,CLI-0042,DataVault Pro,Access Permission Issue,Low,2023-07-20,2023-07-20,22.6,48,Yes,Resolved,Divya Reddy,Email,3
TKT-00276,CLI-0241,AnalyticsEdge,Billing Query,High,2024-08-24,,,8,No,In Progress,Neha Gupta,Email,
TKT-03056,CLI-0064,CloudShift Platform,Server Downtime,Low,2025-03-18,2025-03-20,64.1,48,No,Resolved,Rahul Das,Portal,
TKT-03271,CLI-0028,CloudShift Platform,Feature Request,Medium,2024-03-28,,,24,No,Open,Kavya Iyer,Portal,
TKT-02121,CLI-0041,DevOps Accelerator,Report Inaccuracy,Medium,04/19/2023,,,24,Yes,In Progress,Deepika Mishra,Phone,
TKT-00076,CLI-0182,AI Insights Module,Billing Query,Medium,2023-02-09,,,24,Yes,In Progress,Rahul Das,Phone,
TKT-00203,CLI-0120,AnalyticsEdge,Onboarding Support,High,2023-09-05,2023-09-05,8.6,8,,Resolved,Nikhil Mehta,Phone,4
TKT-02610,CLI-0270,AI Insights Module,Onboarding Support,Medium,2023-12-09,2023-12-09,16.5,24,Yes,Resolved,Rahul Das,Portal,2
TKT-01336,CLI-0005,DataVault Pro,Server Downtime,High,2023-03-31,,,8,Yes,Open,Pooja Gupta,Email,
TKT-00752,CLI-0090,CloudShift Platform,Dashboard Bug,Medium,2024-07-28,2024-07-29,31.0,24,No,Resolved,Nikhil Mehta,Chat,4
TKT-00441,CLI-0208,CloudShift Platform,Server Downtime,High,2025-02-15,2025-02-15,3.0,8,Yes,Resolved,Pooja Patel,Chat,4
TKT-02567,CLI-0114,DataVault Pro,API Integration Failure,Medium,2023-09-01,,,24,No,In Progress,Priya Nair,Chat,
TKT-02982,CLI-0074,DevOps Accelerator,Login Issue,High,2023-07-16,2023-07-16,2.4,8,Yes,Resolved,Kavya Iyer,Email,
TKT-03650,CLI-0027,SecureNet Suite,Onboarding Support,Medium,2024-10-03,2024-10-03,5.1,24,Yes,Resolved,Siddharth Reddy,Email,5
TKT-00929,CLI-0117,SecureNet Suite,Login Issue,High,2024-01-03,,,8,No,Escalated,Pooja Patel,Chat,
TKT-01508,CLI-0139,DataVault Pro,Security Alert,Low,2023-11-05,2023-11-06,37.9,48,,Resolved,Priya Nair,Phone,
TKT-02182,CLI-0184,SecureNet Suite,Access Permission Issue,Medium,2024-03-19,20-03-2024,33.3,24,No,Resolved,Siddharth Reddy,Email,
TKT-02062,CLI-0038,CloudShift Platform,Data Sync Error,Low,2023-03-02,,,48,Yes,Open,Deepika Mishra,Email,
TKT-00874,CLI-0162,CloudShift Platform,Performance Lag,Medium,2023-04-30,2023-04-30,2.7,24,Yes,Resolved,Rahul Das,Phone,3
TKT-03430,CLI-0091,CloudShift Platform,Access Permission Issue,Medium,2024-12-21,22-12-2024,25.5,24,,Resolved,Priya Patel,Chat,3
TKT-03132,CLI-0273,SecureNet Suite,Billing Query,Medium,2024-09-05,2024-09-05,12.3,24,Yes,Resolved,,Chat,
TKT-01208,CLI-0154,CloudShift Platform,Feature Request,High,2024-11-29,2024-11-29,9.2,8,No,Resolved,Karan Rao,Chat,3
TKT-03384,CLI-0132,DevOps Accelerator,Billing Query,Medium,2025-03-05,,,24,No,Escalated,Arjun Mishra,Phone,
TKT-00614,CLI-0072,DataVault Pro,API Integration Failure,Medium,2024-05-12,,,24,Yes,Open,Deepika Mishra,Phone,
TKT-01159,CLI-0218,DataVault Pro,Server Downtime,High,2023-11-25,2023-11-25,5.0,8,Yes,Resolved,Siddharth Reddy,Chat,
TKT-00467,CLI-0001,SecureNet Suite,Billing Query,Low,2023-11-19,,,48,Yes,Open,Pooja Iyer,Phone,
TKT-02005,CLI-0204,SecureNet Suite,report inaccuracy,Low,2023-10-15,,,48,Yes,Open,Priya Patel,Chat,
TKT-00202,CLI-0093,SecureNet Suite,Performance Lag,Low,2025-02-21,,,48,No,In Progress,Rahul Das,Portal,
TKT-02224,CLI-0191,AnalyticsEdge,Onboarding Support,Critical,2024-08-02,,,4,Yes,Escalated,Divya Verma,Phone,
TKT-00479,CLI-0040,CloudShift Platform,Billing Query,High,2023-10-21,2023-10-21,19.1,8,No,Resolved,Priya Nair,Portal,4
TKT-02827,CLI-0069,DataVault Pro,Access Permission Issue,Critical,2023-10-06,,,4,Yes,Escalated,Rahul Das,Email,
TKT-02698,CLI-0251,AI Insights Module,Dashboard Bug,Medium,2023-04-19,2023-04-20,46.3,24,No,Resolved,Nikhil Reddy,Email,
TKT-02656,CLI-0200,AI Insights Module,API Integration Failure,Medium,2024-09-23,2024-09-24,29.4,24,No,Resolved,Divya Reddy,Email,4
TKT-00233,CLI-0130,AI Insights Module,Server Downtime,Medium,2025-01-19,,,24,Yes,Open,Rahul Das,Portal,
TKT-01140,CLI-0244,AnalyticsEdge,Data Sync Error,Medium,2024-04-20,2024-04-20,17.3,24,Yes,Resolved,Deepika Mishra,Phone,4
TKT-02859,CLI-0075,CloudShift Platform,Server Downtime,Critical,2023-10-01,,,4,No,Open,Karan Rao,Portal,
TKT-03682,CLI-0248,SecureNet Suite,Dashboard Bug,Critical,2024-03-31,2024-03-31,3.6,4,Yes,Resolved,Nikhil Reddy,Chat,
TKT-02459,CLI-0131,AnalyticsEdge,Data Sync Error,Medium,2023-09-13,2023-09-13,15.1,24,Yes,Resolved,Pooja Patel,Portal,4
TKT-02296,CLI-0143,DataVault Pro,Dashboard Bug,,2025-03-08,2025-03-08,1.4,4,Yes,Resolved,Siddharth Reddy,Email,4
TKT-02792,CLI-0012,DevOps Accelerator,Login Issue,Low,2023-04-02,2023-04-02,6.9,48,Yes,Resolved,Divya Verma,Chat,4
TKT-02492,CLI-0202,CloudShift Platform,Security Alert,Medium,2024-12-02,2024-12-02,9.7,24,,Resolved,Neha Gupta,Phone,
TKT-01444,CLI-0150,CloudShift Platform,Security Alert,Low,2023-12-19,2023-12-22,73.7,48,No,Resolved,Nikhil Mehta,Email,
TKT-02070,CLI-0185,AI Insights Module,Login Issue,High,2024-04-20,,,8,No,Open,Karan Rao,Chat,
TKT-00560,CLI-0221,DataVault Pro,Onboarding Support,Low,2025-01-16,,,48,No,Open,Kavya Iyer,Portal,
TKT-00121,CLI-0139,SecureNet Suite,API Integration Failure,High,2024-06-05,2024-06-05,8.6,8,No,Resolved,Pooja Gupta,Portal,1
TKT-00569,CLI-0261,AI Insights Module,Report Inaccuracy,High,2024-05-16,,,8,Yes,Escalated,Siddharth Reddy,Chat,
TKT-01176,CLI-0216,DevOps Accelerator,Server Downtime,Critical,2023-10-30,30-10-2023,6.0,4,No,Resolved,Pooja Patel,Portal,5
TKT-03066,CLI-0263,DataVault Pro,Security Alert,Medium,2024-05-13,13-05-2024,23.2,24,Yes,Resolved,Karan Rao,Portal,
TKT-03827,CLI-0141,SecureNet Suite,Access Permission Issue,Medium,08/04/2024,04-08-2024,4.9,24,Yes,Resolved,Kavya Iyer,Chat,3
TKT-02297,CLI-0097,AnalyticsEdge,Access Permission Issue,High,2023-07-29,,,8,Yes,In Progress,Pooja Iyer,Phone,
TKT-01793,CLI-0171,DevOps Accelerator,server downtime,High,2024-06-24,2024-06-24,17.4,8,No,Resolved,Neha Gupta,Email,
TKT-01910,CLI-0271,AnalyticsEdge,Data  Sync  Error,Low,2024-02-22,2024-02-23,36.3,48,Yes,Resolved,Priya Nair,Phone,3
TKT-01731,CLI-0015,DataVault Pro,Security Alert,Medium,2024-12-11,2024-12-11,3.2,24,Yes,Resolved,Priya Nair,Chat,3
TKT-03322,CLI-0075,SecureNet Suite,Data Sync Error,High,2024-07-13,,,8,No,In Progress,Divya Reddy,Phone,
TKT-03107,CLI-0104,DevOps Accelerator,Security  Alert,High,2024-05-15,2024-05-15,19.0,8,No,Resolved,Neha Gupta,Chat,3
TKT-01772,CLI-0129,SecureNet Suite,Report Inaccuracy,Medium,2023-11-30,2023-12-02,54.1,24,No,Resolved,,Chat,3
TKT-03649,CLI-0260,CloudShift Platform,Access Permission Issue,High,2023-05-25,2023-05-25,17.7,8,No,Resolved,Nikhil Reddy,Chat,3
TKT-00236,CLI-0018,DataVault Pro,Data Sync Error,High,2025-03-17,,,8,No,Open,Pooja Patel,Email,
TKT-00589,CLI-0272,SecureNet Suite,API Integration Failure,Medium,2024-05-15,,,24,Yes,Open,Divya Verma,Email,
TKT-00518,CLI-0099,AI Insights Module,Onboarding Support,Critical,2024-07-29,2024-07-29,6.4,4,No,Resolved,Kavya Iyer,Phone,4
TKT-00464,CLI-0178,CloudShift Platform,Security Alert,Medium,2025-01-20,2025-01-22,49.5,24,No,Resolved,Deepika Mishra,Phone,3
TKT-00692,CLI-0234,DevOps Accelerator,Login Issue,Medium,2024-10-26,,,24,No,Open,Karan Gupta,Email,
TKT-03292,CLI-0197,DevOps Accelerator,Access Permission Issue,Medium,2023-12-30,,,24,No,Open,Deepika Mishra,Chat,
TKT-02260,CLI-0127,AnalyticsEdge,Server Downtime,High,12/17/2024,,,8,No,Open,Arjun Mishra,Email,
TKT-01514,CLI-0079,SecureNet Suite,Server Downtime,High,2023-06-17,2023-06-17,14.4,8,No,Resolved,Manish Nair,Chat,3
TKT-01948,CLI-0111,AnalyticsEdge,Access Permission Issue,High,04/08/2023,2023-04-08,9.2,8,No,Resolved,Rahul Das,Email,4
TKT-03554,CLI-0167,DevOps Accelerator,API Integration Failure,Medium,2023-07-04,,,24,No,Escalated,Divya Reddy,Chat,
TKT-01217,CLI-0027,DevOps Accelerator,Performance Lag,Medium,2024-02-06,2024-02-08,52.6,24,No,Resolved,Kavya Iyer,Email,3
TKT-01814,CLI-0046,DataVault Pro,Billing Query,Medium,2024-01-18,,,24,Yes,Open,Pooja Iyer,Email,
TKT-00986,CLI-0218,CloudShift Platform,Data Sync Error,Low,2024-11-14,2024-11-16,59.2,48,No,Resolved,Nikhil Reddy,Phone,2
TKT-00397,CLI-0117,DataVault Pro,Login Issue,Low,2023-04-23,2023-04-24,34.2,48,Yes,Resolved,Pooja Gupta,Phone,5
TKT-00905,CLI-0105,CloudShift Platform,Login Issue,High,2023-01-17,,,8,Yes,In Progress,Siddharth Reddy,Email,
TKT-00073,CLI-0190,DataVault Pro,Server Downtime,Low,2024-02-06,2024-02-08,50.1,48,No,Resolved,Karan Rao,Portal,4
TKT-00146,CLI-0006,CloudShift Platform,Dashboard Bug,Medium,2024-01-07,2024-01-07,13.3,24,Yes,Resolved,Pooja Iyer,Portal,1
TKT-03047,CLI-0068,AI Insights Module,API Integration Failure,High,2024-07-19,2024-07-19,18.6,8,No,Resolved,,Portal,5
TKT-01119,CLI-0228,AI Insights Module,Billing Query,Medium,2024-08-30,2024-08-30,1.1,24,Yes,Resolved,Manish Nair,Phone,4
TKT-00809,CLI-0107,CloudShift Platform,Dashboard Bug,Critical,2025-03-24,2025-03-24,8.5,4,No,Resolved,Nikhil Mehta,Portal,
TKT-01271,CLI-0164,DevOps Accelerator,Feature Request,Low,2024-02-11,2024-02-12,24.5,48,Yes,Resolved,Karan Gupta,Email,4
TKT-02240,CLI-0075,DevOps Accelerator,Onboarding Support,High,2024-01-15,,,8,No,Escalated,Pooja Patel,Chat,
TKT-00853,CLI-0138,DevOps Accelerator,Security Alert,High,2024-05-09,2024-05-09,2.6,8,Yes,Resolved,Neha Gupta,Email,4
TKT-01926,CLI-0051,AnalyticsEdge,Server Downtime,Critical,2023-09-14,2023-09-14,2.9,4,Yes,Resolved,Deepika Mishra,Chat,5
TKT-03445,CLI-0155,DevOps Accelerator,Data Sync Error,Low,2023-01-13,2023-01-16,91.4,48,No,Resolved,Nikhil Mehta,Email,3
TKT-03398,CLI-0158,CloudShift Platform,Feature Request,Low,2023-09-30,2023-10-04,103.5,48,No,Resolved,Rahul Das,Portal,4
TKT-02898,CLI-0299,CloudShift Platform,Feature Request,Medium,2024-05-30,2024-05-30,22.7,24,Yes,Resolved,Deepika Mishra,Phone,
TKT-02388,CLI-0010,SecureNet Suite,Login Issue,Low,2025-03-16,2025-03-17,39.8,48,Yes,Resolved,Karan Rao,Phone,4
TKT-02523,CLI-0288,DataVault Pro,Billing Query,,2024-06-27,2024-06-28,44.0,48,Yes,Resolved,Priya Patel,Phone,4
TKT-03762,CLI-0031,AI Insights Module,Security Alert,High,2023-11-24,2023-11-24,19.8,8,,Resolved,Karan Rao,Phone,4
TKT-03807,CLI-0072,SecureNet Suite,Performance Lag,Low,2024-07-08,,,48,Yes,Open,Karan Gupta,Portal,
TKT-01581,CLI-0206,SecureNet Suite,Performance Lag,Low,2024-06-03,,,48,Yes,In Progress,Arjun Mishra,Email,
TKT-02848,CLI-0104,DevOps Accelerator,Report Inaccuracy,Medium,2024-11-05,,,24,Yes,Escalated,Siddharth Reddy,Phone,
TKT-02635,CLI-0037,SecureNet Suite,Dashboard Bug,High,2023-11-29,,,8,Yes,Open,Ananya Joshi,Chat,
TKT-03480,CLI-0297,CloudShift Platform,Performance Lag,Low,2025-02-26,2025-03-01,81.7,48,No,Resolved,Priya Nair,Email,4
TKT-02989,CLI-0226,DevOps Accelerator,Performance Lag,Medium,2024-03-29,,,24,No,Open,Priya Nair,Phone,
TKT-00837,CLI-0134,DevOps Accelerator,Dashboard Bug,Low,2024-02-18,,,48,No,Open,Priya Nair,Chat,
TKT-02712,CLI-0021,AI Insights Module,Security Alert,Low,2024-12-06,2024-12-10,111.1,48,No,Resolved,Arjun Mishra,Portal,4
TKT-00171,CLI-0212,DevOps Accelerator,Login Issue,Critical,2024-09-01,2024-09-01,6.3,4,No,Resolved,Ananya Joshi,Phone,4
TKT-03978,CLI-0014,SecureNet Suite,Server Downtime,Low,2024-07-08,,,48,No,Open,Karan Rao,Email,
TKT-00028,CLI-0224,AI Insights Module,Dashboard Bug,Medium,2024-01-16,2024-01-17,25.3,24,No,Resolved,Pooja Patel,Portal,3
TKT-02049,CLI-0059,AnalyticsEdge,API Integration Failure,Low,2024-09-04,,,48,No,In Progress,Nikhil Reddy,Email,
TKT-02129,CLI-0038,CloudShift Platform,API Integration Failure,High,2023-08-02,,,8,No,Escalated,Pooja Iyer,Email,
TKT-03990,CLI-0213,AI Insights Module,Access Permission Issue,High,2024-09-27,,,8,No,Escalated,Karan Rao,Email,
TKT-00683,CLI-0133,DevOps Accelerator,Report Inaccuracy,Medium,2024-02-07,2024-02-08,31.0,24,No,Resolved,Siddharth Reddy,Portal,
TKT-02757,CLI-0029,DevOps Accelerator,Login Issue,Critical,03/31/2024,2024-03-31,3.7,4,Yes,Resolved,Pooja Patel,Email,5
TKT-02014,CLI-0033,DevOps Accelerator,Server Downtime,Low,2024-09-09,,,48,No,In Progress,Rahul Das,Email,
TKT-01083,CLI-0166,CloudShift Platform,Login Issue,Medium,2023-10-22,2023-10-24,59.0,24,No,Resolved,Deepika Mishra,Portal,4
TKT-03140,CLI-0277,DevOps Accelerator,Server Downtime,Low,2024-05-30,,,48,Yes,In Progress,Priya Patel,Phone,
TKT-00893,CLI-0089,DataVault Pro,Billing Query,High,2024-06-05,2024-06-05,19.0,8,No,Resolved,Rahul Das,Chat,3
TKT-01333,CLI-0169,DevOps Accelerator,Access Permission Issue,Medium,2025-01-09,,,24,No,Open,Manish Nair,Phone,
TKT-02257,CLI-0227,CloudShift Platform,Access Permission Issue,High,2025-01-19,2025-01-19,6.7,8,Yes,Resolved,Rahul Das,Portal,2
TKT-03712,CLI-0024,CloudShift Platform,Access Permission Issue,Medium,2025-01-20,2025-01-22,49.5,24,No,Resolved,Deepika Mishra,Email,5
TKT-01429,CLI-0149,SecureNet Suite,Security Alert,Medium,2024-06-17,2024-06-17,21.0,24,Yes,Resolved,,Chat,4
TKT-02407,CLI-0289,DevOps Accelerator,Server Downtime,Critical,2023-04-09,,,4,Yes,In Progress,Karan Rao,Portal,
TKT-03757,CLI-0276,SecureNet Suite,Server Downtime,Medium,2024-05-20,,,24,No,In Progress,Manish Nair,Chat,
TKT-03209,CLI-0061,DevOps Accelerator,Login Issue,High,2024-10-07,2024-10-07,18.3,8,No,Resolved,Rahul Das,Email,4
TKT-02007,CLI-0040,DataVault Pro,Onboarding Support,Low,2024-12-04,,,48,,Escalated,Nikhil Mehta,Chat,
TKT-00810,CLI-0094,AnalyticsEdge,API Integration Failure,Medium,2024-10-22,,,24,Yes,In Progress,Pooja Iyer,Email,
TKT-01482,CLI-0088,DevOps Accelerator,Login Issue,Critical,2023-07-01,2023-07-01,7.2,4,No,Resolved,Pooja Gupta,Phone,5
TKT-02807,CLI-0117,CloudShift Platform,Onboarding Support,Critical,2023-12-23,2023-12-23,7.9,4,No,Resolved,Nikhil Reddy,Phone,4
TKT-03453,CLI-0069,DevOps Accelerator,API Integration Failure,High,2024-10-07,2024-10-07,19.0,8,No,Resolved,Priya Patel,Email,4
TKT-01394,CLI-0206,AI Insights Module,Access Permission Issue,Critical,2023-04-11,2023-04-11,6.8,4,No,Resolved,Kavya Iyer,Portal,2
TKT-00453,CLI-0191,DevOps Accelerator,Onboarding Support,Medium,2023-02-25,2023-02-25,18.4,24,Yes,Resolved,Kavya Iyer,Portal,4
TKT-01306,CLI-0275,DataVault Pro,Login Issue,Critical,2024-08-11,2024-08-11,1.0,4,Yes,Resolved,Kavya Iyer,Phone,3
TKT-02562,CLI-0261,DataVault Pro,Billing Query,High,2023-12-27,,,8,No,In Progress,Arjun Mishra,Portal,
TKT-00788,CLI-0210,AI Insights Module,Security Alert,Low,2023-12-06,2023-12-09,76.8,48,No,Resolved,Divya Reddy,Portal,4
TKT-00131,CLI-0031,DataVault Pro,Onboarding Support,Medium,2025-02-06,2025-02-06,11.3,24,Yes,Resolved,Ananya Joshi,Portal,
TKT-03473,CLI-0165,DataVault Pro,Onboarding Support,Medium,2023-09-08,2023-09-10,52.7,24,No,Resolved,Rahul Das,Phone,4
TKT-03242,CLI-0232,DevOps Accelerator,API Integration Failure,Medium,2024-12-07,07-12-2024,9.5,24,Yes,Resolved,Karan Rao,Phone,4
TKT-03830,CLI-0265,AnalyticsEdge,Access Permission Issue,Medium,2023-09-01,2023-09-02,26.2,24,No,Resolved,Deepika Mishra,Portal,4
